Description,Tag,Code
"Kaggle is a crowdsourcing platform that connects organizations that have a data problem to solve with data scientists that compete to build the best solution through predictive modeling. Winners can receive monetary prizes, jobs or knowledge.",Crowdsourcing,30
"Utest provides crowdsourced software testing services through a global community of professional testers. Testing services include Functional, Load, Localization, Security, and Usability testing. It also serves as a networking and training platform for the testing community.",Crowdsourcing,30
"Appirio is a cloud consultancy that advises on, develops, and implements cloud solutions for enterprises. It's delivery model leverages a combination of a proprietary technology suite, traditional services, and crowdsourcing.",Crowdsourcing,30
"Topcoder is an online community of data scientists, software developers, and graphic designers that compete to solve specific challenges posted by enterprises.",Crowdsourcing,30
Wikistrat is a crowdsourced strategic consultancy leveraging a global network of subject-matter experts who collaborate with and serve clients online. It focuses on generating broad-view strategic insights quickly rather than providing in-depth analyses.,Crowdsourcing,30
Innocentive helps enterprises solve innovation challenges by sourcing ideas from an online community of talent through a competition model. It also provides a SaaS platform for organizations to design and manage their own open innovation campaigns.,Crowdsourcing,30
"99 Tests is a crowdsourced software testing platform for enterprise software and mobile app developers. It works through a ""bug bounty"" program whereby professional software testers working through the cloud are rewarded for bugs they find  - enabling enterprise clients to fix the bugs before rolling out their applications to end users.",Crowdsourcing,30
"Bugcrowd provides a managed cyber security service leveraging a crowd of 16,000+ security researchers. The community competes through bug bounties to find and test vulnerabilities in enterprise applications and security systems.",Cybersecurity,33
Chaordix provides a crowdsourcing platform to help companies engage consumer communities for new concept generation and testing. It also offers tools for managing internal crowds and improving innovation management.,Crowdsourcing,30
Consensus point helps enterprises connect with consumer communities for market research and testing of new ideas. It also provides a software platform for internal crowdsourcing initiatives.,Crowdsourcing,30
"CrowdCurity provides a managed cyber security service leveraging a crowd of 2,000+ security researchers. The community competes through bug bounties to find and test vulnerabilities in enterprise applications and security systems.",Cybersecurity,33
CrowdSource provides managed crowdsourcing services addressing content and data challenges for enterprises.,Crowdsourcing,30
"Ideaken helps enterprises solve innovation challenges by sourcing ideas from academia, research institutes, individual experts, and other businesses through a competition model. Ideas can come from both the registered community of active participants or through specific search and solicitation of experts.",Crowdsourcing,30
"IdeaScale provides an innovation management software platform for enterprises, governments, and academia. It has features designed to support activities across the full innovation life cycle of idea collection, refinement, review, and implementation.",Crowdsourcing,30
"MobileWorks combines crowdsourced human intelligence, custom data collection, and machine learning to generate lead intelligence for B2B sales and marketing teams. It maintains a social impact goal of forming its worker crowd primarily of globally underemployed and unemployed individuals.",Crowdsourcing,30
"Mob4Hire provides crowdsourced testing services for mobile and web applications. It qualifies the crowd of professional testers and employs a ranking system for quality control. Separately, it also provides consumer surveying services. ",Crowdsourcing,30
Measurabl provides a cloud-based platform for sustainability data management and reporting.,Sustainability,119
Ecometrica is a sustainability management software provider that helps businesses manage and monitor their environmental impact while improving business performance. It's platform can aggregate and centralize a wide variety data from within and outside of the enterprise for reporting and transparency.,Sustainability,119
Accuvio provides sustainability intelligence software that pulls energy usage and business application data from across the enterprise into one place. It includes analysis and reporting features enabling the user to compare performance against specific regulatory requirements and simplify overall compliance.,Sustainability,119
Visage empowers your team to create branded visual content optimized for the distribution channels that are most important to you.,Data Analytics,35
Zoomdata is a big data visualization and analytics platform focused on empowering business users with real-time data streaming. It provides both pre-built and customizable dashboards.,Data Analytics,35
"Ayasdi is an advanced analytics platform that leverages machine learning and topological data analysis (TDA) to generate insights from complex, unstructured data. Through TDA, its solution can identify underlying patterns faster and in a more repeatable manner than traditional machine learning techniques.",Data Analytics,35
"Buddy provides a platform for centrally managing and analyzing connected device data in one place. It helps enterprises efficiently aggregate data from a variety of connected devices, stores that data securely, and integrates it into other data sets and systems for analysis. It also features an API and data-shaping tool to help users analyze it more efficiently.",Pervasive Computing,103
"Econais is a software and hardware solution provider for the Internet of Things (IoT). It offers a platform for developing applications that communicate with and control connected devices, and also manufactures hardware modules that can be implanted into devices to connect them to the internet quickly. Application areas include industrial, wearables, and smart home.",Pervasive Computing,103
"Jasper provides a platform for enterprises to centrally manage their Internet of Things (IoT) deployments - helping aggregate and analyze connected device data, configure and push actions to devices, and minimize program costs through overall visibility. It's main application areas are in consumer products, connected cars, and enterprise mobility.",Pervasive Computing,103
"AirWatch by VMware allows organizations to easily deploy, configure, secure, manage and support smartphones, tablets, laptops and other devices across multiple mobile platforms and operating systems.",Digital Enterprise,45
D Wave is a quantum computing company that seeks to revolutionize the way computers operate to make them faster and more reliable.,Digital Enterprise,45
"Expect Labs provides a platform for developing voice interfaces for any app, website, or device. Using the platform, app developers can create voice-driven assistants that understand voice commands of the user, enabling them to navigate and find information with their voice instead of typing or clicking.",Artificial Intelligence,3
"Strands helps enterprises monetize their customer data to personalize and improve customer experiences. Its primary focus is on financial institutions and retailers, but its suite of data analytics and machine learning applications could be expanded to other sectors.",Data Analytics,35
"Knewton is a learning technology company that applies ""adaptive learning"" to improve how learners progress through an online curriculum. It understand and adjusts to the needs of specific individuals and provides reports on how learners are performing. The technology can be integrated into proprietary digital learning applications.",Workforce of the Future,130
"Skytree¨ÑThe Machine Learning Company¨ is disrupting the Advanced Analytics market with a Machine Learning platform that gives organizations the power to discover deep analytic insights, predict future trends, make recommendations and reveal untapped markets and customers.",Data Analytics,35
RapidMiner is a self-service big data analytics and predictive modeling platform for enterprises. It enables enterprise users to integrate a wide variety of data sources for analysis and design their own analytical models and visualizations without having to code. It also leverages a crowd of data scientists to assist with analysis design and best practices.,Data Analytics,35
"Actio is an enterprise compliance platform that helps collect and manage data within and outside the enterprise pertaining to various government regulations. It includes features for reporting on and optimizing processes with the data it helps collect. Compliance areas include supply chain, chemicals, materials, manufacturing safety, and sustainability.",Legal & Regulatory,75
"Waygum is a platform for mobile app development for the Industrial Internet of Things (IoT). It enables organizations to build mobile apps that can control internet connected devices, monitor data from devices, and generally view and manage industrial processes remotely.",Pervasive Computing,103
"Solebit Labs helps protect enterprise networks from zero-day attacks and advanced persistent threats (APTs) through its SoleGATE product. SoleGATE is a network appliance that analyzes all incoming data streams, distinguishes hidden code (used to execute attacks) from other data types and restricts unauthorized code from entering the network.",Cybersecurity,33
"Sprylab is a mobile product development and consulting company that helps companies generate and implement mobile strategies. It provides strategic advisory, agile mobile app development, back-end support, and testing services.",Digital Enterprise,45
Initiafy provides a software platform helping enterprises onboard and manage contract workers and temp staff more efficiently. It enables new/temporary employees to conduct a majority of their onboarding processes and training modules virtually. The platform also features knowledge management functionality to help enterprises avoid re-work and automate much of the onboarding process.,Workforce of the Future,130
"RoundOne is an online platform connecting jobseekers directly with employees at hiring companies for networking and referral opportunities. It works through a ""pay-per-referral"" model where jobseekers connect with company insiders through the platform, and only pay if the interaction results in a personal referral for their job application.",Workforce of the Future,130
"Evrythng provides a platform for managing data associated with physical products and connecting this data to the web, enabling physical products to have unique and traceable digital identities. This data can be interacted with in a variety of ways, empowering brands to generate new insights, applications and experiences around physical products.",Pervasive Computing,103
"Placemeter helps enterprises and municipalities analyze activity of physical spaces through video surveillance and sensor data. It provides cameras and sensors to capture data, and a platform to aggregate and analyze the data for insights. Its primary applications are in urban planning, retail store experience, and real estate diligence.",Pervasive Computing,103
"Tuxera solves data and device incompatibility challenges so that the content is never lost and always available for editing, playback, storage and sharing no matter how or where.",Data Management,38
"SafetyCulture provides a software solution for managing workplace safety and safety compliance. It's core product is a platform that centralizes tracking, reporting, and managing workflow of safety inspections. It offers an associated mobile app for managing safety inspections and peer-to-peer sharing of safety data.",Legal & Regulatory,75
Influx provides 24/7 customer-service-as-a-service to enterprises. It delivers customer support analytics and reporting as part of its service and integrates with other support services and platforms.,Digital Enterprise,45
Relationwise offers a SaaS solution that enables companies to API integrate to any CRM and measure customer loyalty and employee performance in real time via smartphones and tablets. ,Data Analytics,35
"Tazio is an online technology platform for hiring, developing and retaining employees. It offers a video interview tool with features for recording and analyzing footage of candidates and employees, and also provides a tool for creating custom online aptitude assessments.",Workforce of the Future,130
"Apptio is a business management system for enterprise IT departments. Through a suite of SaaS applications focused on process automation and operational analytics, it helps IT leaders manage the cost, quality and value of IT projects.",Digital Enterprise,45
"Jama provides collaborative product development software to help enterprises bring complex products to market. It has features aimed at creating visibility and alignment within and across teams, maximizing repeatability, and integrating with other project management applications.",Digital Enterprise,45
"Aryaka Networks provides a Wide Area Network (WAN)-as-as-service for global enterprises to connect their people, devices, data, and infastructure privately and securely. It's platform includes built-in WAN optimization technology - removing the need for seperate optimization hardware and solutions - and can integrate applications within and outside the company firewall. It emphasizes efficient integration with new and legacy systems and infrastructure.",Data Management,38
"Augure is a reputation management and communication platform targeting marketers and PR professionals. Its software helps identify and track influencers for targeted outreach, develop and manage communications material, and analyze the effectiveness of campaigns in one place.",Digital Enterprise,45
"HubLogix is a software platform that automates back end ecommerce processes for retailers. It helps accelerate activities across the lifecycle from checkout to delivery including inventory management, order routing, and shipment tracking.",Digital Enterprise,45
"Platform-as-a-service solution specializing in custom workflow solutions empowering organizations to build business apps for anyone, anywhere, on any device.",Digital Enterprise,45
"Cleantech provides an online platform that connects corporates with innovation, at scale, by allowing them to find and connect with start-ups. They also help business leaders make smarter, more strategic decisions involving Cleantech innovation through advisory and market research.",Sustainability,119
"AppDirect offers a cloud service marketplace and management platform that enables companies to distribute web-based services. The global network of AppDirect-powered marketplaces allows businesses to find, buy, and manage the best applications the cloud has to offer.",Digital Enterprise,45
"Niche clean tech advisory, research, and capital-raising services provider.",Sustainability,119
Deciphers data through computational and vizualization tools that enable global food security.,Market Intelligence,82
"Panoramic Power provides cloud-based analytics to help businesses optimize their energy consumption, improve operational efficiency and generate income through load response programs.",Sustainability,119
"Grid4C provides predictive analytics for the smart grid by applying machine learning to granular measurements of energy data from a variety of meters, sensors, and users. It empowers players across the energy value chain to maximize energy efficiency through data visualizations and predictive alerts.",Sustainability,119
"4tiitoo provides innovative software solutions to bring a more intuitive and natural user experience to the daily computer interaction byÊallowing for a simple way to create applications controlled via eye tracking, gestures or speech recognition.",Pervasive Computing,103
Develops and distributes web-based collaboration software.,Workforce of the Future,130
"Cloudbased security services to business customers; specializing in email security, web security, and data storage.",Cybersecurity,33
"Bitstars operates a SaaS platform that enables users to create, edit, and customize their own augmented and virtual reality content. The company provides bitstars, a platform that enables users to create new virtual worlds by augmenting with virtual information, such as pictures, texts, and videos. Its augmented and virtual reality application fields include production and manufacturing, education and training, maintenance and repair, work documentation, digital prototyping, and factory planning. ",Pervasive Computing,103
"Clickworker provides business services crowdsourcing leveraging a crowd of qualified online workers. Through micro-tasking, the crowd completes projects related to text creation, SEO, data cleansing and structuring, translation, online research, and surveys.",Crowdsourcing,30
Collinor Software is a project management software provider with interfaces specially designed for midsized and large businesses.,Workforce of the Future,130
"Conceptboard offers flexible online workspaces to simplify team collaboration, enhance visual communication and help evolve ideas into finished products.",Workforce of the Future,130
Conweaver provides software for automatic integration of corporate data and intelligent semantic and multilingual searches.,Data Management,38
"Cumulocity is a platform for developing and managing mobile machine-to-machine applications. It makes it easy for developers to connect a variety of device types to the internet, manage and control them, and analyze the data they generate securely.",Pervasive Computing,103
Data Virtuality offers software that flexibly combines all the data sources you need for your analysis and planning Ð from heterogeneous IT systems to web applications to Big Data.,Data Management,38
Enercast forecasts energy output by wind and solar power in real-time based on weather patterns. This streaming information is used by energy grid operators and smart homes to optimize consumption and balance load.,Sustainability,119
"Engagor provides a platform for brands to manage their presence on social media. It enables real-time customer engagement through social channels, and helps inform social strategies by monitoring millions of sources to track potentially insightful social conversations. The platform also includes workflow features for social media teams to manage and measure their performance.",Digital Enterprise,45
Awingu is a workspace aggregator that gives users secure access to corporate IT resources such as company applications and data. ,Data Management,38
"Racktivity provides an energy management system for within the enterprise data center. Their solution measures, monitors and manages power across distributed data centers and gives customers full visibility and control of their energy consumption.",Sustainability,119
"Chainalytics is a supply chain analytics and consulting services company. It offers membership-based benchmarking and predictive intelligence for freight markets and demand planning. It also leverages a proprietary analytics platform to offer ""on-demand supply chain analytics.""",Data Analytics,35
"Adzuna is a search engine for job listings that aggregates information from thousands of sources and listings across the globe. It empowers job candidates to efficiently find job opportunities in nearly any industry or category, and leverages semantic analysis to return personalized results. It also offers API access for businesses interested in accessing the wealth of job and employment information from the site in real-time.",Workforce of the Future,130
"Chartbeat provides real-time analytics to Websites and blogs. It shows visitors, load times, and referring sites on a minute-by-minute basis allowing companies to know where to place ads.",Data Analytics,35
Culture-first software company that is building the world's leading People Analytics platform for people and culture.,Workforce of the Future,130
"Factual provides ""location-data-as-a-service"" that companies can leverage to deliver location-aware mobile experiences, content, and ad targeting. It's database includes a variety of attributes on products, businesses, and other points of interest updated in real-time. Users can integrate the location data into their own apps and products and also analyze it to identify patterns.",Market Intelligence,82
"Justworks is a cloud platform for managing employee benefits, payroll, and HR compliance processes. It targets small to medium sized enterprises.",Digital Enterprise,45
Lever is a modern web-app that enables enterprises to hire top candidates more efficiently by introducing a new way to track applicants.,Workforce of the Future,130
"MetPack offers a delivery management platform for local and global e-commerce, offering highly configurable software which connects shippers with all parcel carriers, alternative drop-off, collection and return solutions",Data Analytics,35
"StepStone is an online job board business in Europe and operates some of the strongest online job portals with over 50 million visits and more than 500,000 jobs per month.",Workforce of the Future,130
Trustpilot is an online platform for consumers to post reviews of their experiences with businesses and read the reviews of others. Businesses can aggregate and analyze the data in real-time to inform their engagement strategies and improve their products and services.,Crowdsourcing,30
Zendesk is a customer service and support platform for enterprises that integrates customer inquiries and issues across channels and applications in one place. It includes analysis and reporting features for identifying and preventing top issues and improving customer service over time.,Digital Enterprise,45
"From acquisition to analytics, Zuora delivers the features and functionalities you need to run a subscription business, all in one convenient, cloud-based toolbox.",Digital Enterprise,45
"Alfresco provides an enterprise content management solution that can be deployed on the cloud or on-premise, and can integrate with cloud and on-premise applications simultaneously. It has robust document management capabilities that can handle large media file formats and includes workflow management features for enterprise-wide file sharing and collaboration.",Data Management,38
"ClusterHQ offers Flocker, which expands the Docker ecosystem by giving developers a tool for managing data volumes in Docker clusters and making them as portable as their Docker containers. It supports many of the most popular databases, key-value stores and message queueing services and runs on most cloud computing platforms, with support for CoreOS, Cloud Foundry and Mesosphere coming soon.",Data Management,38
"CrowdStrike offers a managed endpoint protection solution, helping enterprises detect and prevent known and unknown cyber attacks from sources beyond malware. It leverages machine learning to conduct advanced threat modeling and prioritize potential attacks before they happen. It also provides real-time cyber intelligence services and a 24/7 center of excellence for advanced monitoring and support.",Cybersecurity,33
"DocuSign is an eSignature platform that helps companies manage business transactions digitally with their customers, business partners and employees. Users can securely upload and send transaction documents, sign them digitally, and archive them.",Legal & Regulatory,75
"EnterpriseNube is a next generation business solutions firm that helps corporations navigate the emerging digital world. They help organizations bridge the gap between individuals and organizations brought about by online social media, business strategy and processes, and Enterprise IT design via a more collaborative and inclusive business environment.",Digital Enterprise,45
"ForgeRock transforms the way organizations approach identity and access management, so they can deliver better customer experiences, strengthen customer relationships, and ultimately, drive greater value and revenue by using commercial open source identity stack for securing anything, anywhere, on any device.",Cybersecurity,33
Freshdesk is a cloud-based customer support platform that enables companies to talk to their customers and makes it easy for users to get in touch with businesses.,Digital Enterprise,45
"Jifflenow offers cloud-based enterprise meeting scheduling solutions for B2B events, helping companies accelerate their sales cycles by making it simple to schedule, track, and analyze meetings with prospects and customers at events.",Digital Enterprise,45
"KDS SaaS based solutions address the complete Travel and Expense (T&E) lifecycle, from policy definition and enforcement, and online self-booking, through to automated expense processing and invoice reconciliation.",Workforce of the Future,130
"Mobstac offers beaconstac, a complete software platform for iBeacon-enabled proximity marketing campaigns.",Digital Enterprise,45
"OpenGamma provides an open platform for analytics and risk management for the financial services industry. OpenGamma allows financial institutions to optimize their businesses in the evolving OTC markets with a transparent, future-proof risk platform. Using OpenGammaÕs technology, customers are able to gain more insight into their underlying risk exposures, better assess the true costs of trading, and significantly expand the capabilities of their in-house IT resources.",Data Analytics,35
"Paxata is a cloud-based, self-service solution powered by semantic algorithms, distributed computing techniques and a highly interactive visual experience. Paxata dramatically reduces manual steps of any analytic exercise, empowering analysts to unlock their full potential and deliver the true business value of analytics to their organizations. ",Data Analytics,35
"PeopleDoc provides digital solutions that help simplify and accelerate HR processes. It's core offering is a platform for securely storing, managing, and analyzing employee-related documents in one place. It also offers a platform for triaging HR-related questions from employees and managing the support process.",Workforce of the Future,130
Prezi is a cloud-based presentation development tool intended to be an alternative to PowerPoint. It's features focus more on motion and interactivity between presentation objects rather than static slides.,Workforce of the Future,130
"Qriously provides a platform for targeting consumers with mobile ads based on their own stated preferences. It does this matching through ""opinion targeting,"" whereby mobile users answer basic questions about their brand and product preferences in place of other ads. It polls a growing base of 500M users and provides back-end analytics and reporting for brands.",Digital Enterprise,45
"Qubit offers a marketing cloud platform that integrates analytics, segmentation, A/B testing, and web personalization that helps companies understand real-time data supply chain and optimize web performance.",Data Analytics,35
Sansa Security provides security solutions for the Internet of Things (IoT). It offers software solutions that enable safe communication between devices on the cloud and also provides foundational hardware enabling custom security features to be built into new devices.,Pervasive Computing,103
"SimpliVityÕs OmniCubeª platform provides enterprise computing, storage services and network functionality, inclusive of WAN optimization, Unified Global Management, Seamless Cloud Integration, Primary Storage Deduplication, Backup deduplication, Caching, and Global Scale OutÑ all at a fraction of the acquisition cost of standard infrastructure, a fraction of todayÕs traditional operating costs, and with a game-changing reduction in complexity.",Data Management,38
"AbiquoÕs open, technology agnostic approach helps manage cloud resources and is integrated with existing compute, storage, networking, and workflow technologies. Abiquo helps companies to adopt public cloud services in a structured way by placing policies, controls and processes around the access to and consumption of resources,  just as though they were part of a physical infrastructure.",Data Management,38
Cloud9 provides a development environment in the cloud that allows web and mobile developers to get started with coding immediately and collaborate with their peers.,Data Management,38
"Contentful is a digital content management system that enables content to be distributed across any online device in any online format. It's focus is on having a flexible API, allowing for the efficient management, manipulation, and ultimate publishing of content to any medium (i.e. web apps, mobile apps, wearables, digital billboards).",Digital Enterprise,45
Globoforce provides a social employee recognition platform aimed at improving employee performance and engagement. It enables employees to recognize and praise each other through a social app. Enterprises can customize features and generate reports on the data.,Workforce of the Future,130
"InnerWorkings helps software organizations move to a new level of effectiveness by improving developer skills and increasing management insights. It provides developers with a live, hands-on training environment to learn new skills by solving real coding problems.",Workforce of the Future,130
"Nlyte addresses common IT activities involving the physical environment of data centers, such as capacity planning, asset management, reporting, monitoring, connection management, workflow management, visualization integration, CMDB integration and change management integration.The Nlyte data center infrastructure management (DCIM) solution automates the management of processes, policies and dependencies that surround data center infrastructure. ",Data Management,38
"Recorded Future provides real-time threat intelligence so you can proactively defend your organization against cyber attacks. With billions of indexed facts, and more added every day, our patented Web Intelligence Engine continuously analyzes the open Web to give you unmatched insight into emerging threats.",Cybersecurity,33
"TrademarkNow is an online trademark management platform targeting enterprises, law firms, and branding agencies. Users can search for trademark names they are considering adopting, prioritize them based on risk, and monitor the trademark ecosystem.",Legal & Regulatory,75
Okta helps enterprise IT departments secure their cloud and mobile technologies through a mix of software and services. It focuses on simplifying user authentication and identity management across an enterprise's entire network of cloud applications.,Cybersecurity,33
"Brightleaf provides a text analysis platform that helps automate the process of contract reviews. It applies semantic intelligence technology to mine key information from unstructured text, and indexes all contract metadata into a searchable database that can be uploaded to a company's existing ERP or contract management system.",Legal & Regulatory,75
"ELM Solutions (owned by Wolters Kluwer) is the premier global provider of legal operations management solutions, including legal and intellectual property (IP) spend and matter management software and services.",Legal & Regulatory,75
"Pivotal is building a new platform for a new era, setting the standard for Enterprise Platform-as-a-Service (PaaS). The companyÕs mission is to enable customers to build a new class of applications, leveraging big and fast data, doing all of this with the power of cloud independence.",Digital Enterprise,45
"MuleSoft provides the platform that changes how businesses connect and integrate to SaaS, SOA, and API platforms. With Anypoint Platform's API-led connectivity approach, MuleSoft is lifting the weight of custom connections and freeing companies to innovate faster.",Digital Enterprise,45
"Pyramid Analytics is a web-based business intelligence platform that helps companies analyze and capitalize on their data. It emphasizes ""collaborative BI"" as a differentiator, with embedded features that help individuals and teams share comments and tasks within the tool.",Data Analytics,35
"Druva offers integrated enterprise online backup, secure file sharing and data analytics for complete protection and governance of endpoint data.",Data Management,38
"ClearStory quickly harmonizes and blends data with different formats, from both internal and external sources, on the fly, presenting it visually so that people from all over a company can look at it and understand it regardless of their jobs.",Data Analytics,35
"Looker is a data analytics company that provides data unification across multiple sources, both internal and external, to create a common data language for employees across the organization. The data is then vizualized with dashboards and referenced against user-determined KPIs to help companies quickly analyze performance.",Data Analytics,35
"Platfora provides a data analytics platform built on Hadoop that takes raw data from customer interactions, reciepts and logs and processes it for quick access and analysis across the organization without needing to write code.",Data Analytics,35
GoodData is a cloud-based business intelligence platform that helps companies make sense of their data. It embeds interactive recommendations into its tool to help users analyze their data more efficiently.,Data Analytics,35
"CloudFlare provides online services to protect, accelerate, and optimize a company's websites online.  CloudFlare's offers services that utilize a global network to distribute content and speed up websites, protect websites from a range of online threats, give insight into the websiteÕs traffic, and help its users install web applications on their websites.",Digital Enterprise,45
"DoubleDutch is a mobile app for designing, managing, and analyzing stakeholder experiences at events and conferences. Event hosts engage and communicate with attendees through the app to monitor developments in real-time, and can analyze the data later on to improve future experiences.",Digital Enterprise,45
"Datadog takes care of the complex task of managing a metrics back-end. Instead of figuring out how and where to store data, we get to focus on actually using the data to make better decisions.",Data Management,38
"Bluenose is a customer success platform that empowers SaaS businesses to proactively manage customers through complete visibility, a robust early warning system, and built-in playbooks.",Data Analytics,35
