Primary Tag,Secondary 1,Secondary 2,Secondary 3,Secondary 4,Secondary 5,Secondary 6,Secondary 7,Secondary 8,Description
Digital Enterprise,Performance Management,Regulation & Compliance,Enterprise Intelligence,Cloud Services & Platforms,,,,,"Xero provides cloud accounting software targeting small and medium sized businesses and accounting professionals. Features include inventory tracking, cashflow management, payroll automation, purchase order management, and invoicing. It is intended to be an alternative to QuickBooks."
Digital Enterprise,Performance Management,Project Management,Cloud Services & Platforms,,,,,,"Acumatica provides cloud-based ERP and accounting software targeting small and medium sized businesses. Its suite includes Financial, Distribution, CRM, and Project Accounting applications."
Cybersecurity,Identify Verification,"Fraud Monitoring, Protection & Investigation",Regulation & Compliance,Information Security,Customer Analytics,,,,"Block Score provides a solution for verifying user identities online. It integrates into enterprise websites and validates users with personalized, knowledge-based questions. It also scans government watch lists and red flag list to identify potentially harmful or fraudulent individuals."
Data Management,Marketing Services,Knowledge Management,Cloud Services and Platform ,Data Aggregation,,,,,"Showpad offers a mobile app that provides up-to-date context specific content to increase a sales team’s efficiency in every stage: preparation, conversation and follow up. The app distributes marketing materials and gathers feedback from the field. It also allows users to get insights on how content is being used and align creation efforts with sales revenue goals."
Data Analytics,Financial Analytics,Financial Data,Comparables,Due Diligence,,,,,"Unique among robo advisors, Blooom helps investors manage 401(k) retirement accounts."
Data Analytics,Financial Analytics,Financial Data,Comparables,Due Diligence,,,,,"More closely aligned to a brokerage firm, Motif enables users to create a basket (called a motif) of stocks and ETFs. Once built, an investor can buy a motif of up to 30 stocks and ETFs for $9.95. Investors can create their own motifs, invest in motifs built by Motif Investing, or invest in motifs built by other investors on the platform."
Data Analytics,Data Visualization,Predictive Modeling,Supply Chain Analytics,Enterprise Intelligence,Virtual Collaboration,,,,"Elementum helps enterprises gain better visibility into and reduce risk in their supply chain through big data analytics. It analyzes a variety of internal and external sources in real-time to identify and alert supply chain managers of critical developments. Its suite of apps target 3 distinct areas - supplier management, logistics management, and manufacturing operations. "
Digital Enterprise,Knowledge Management,E-Discovery,Enterprise Intelligence,Machine Learning,Text Analytics,,,,"Brainspace provides software to analyze and visualize unstructured enterprise data for investigation, e-discovery, and knowledge management."
Legal & Regulatory,Enterprise Intelligence,Information Security,Risk & Regulatory Analytics,Regulation & Compliance,Performance Management,Market Research,Corporate Sustainability,,Cafyne provides enterprise SaaS solutions for optimizing social media activity and managing social media risk. It helps aggregate and analyze data on employee social media participation and also enables enterprises to track external social media activity to generate sales and partnership leads.
Workforce of the Future,Performance Management,Risk & Regulatory Analytics,Cloud Storage,Data Visualization,,,,,"Covalent provides cloud-based risk management software that links strategic planning, risk management, and business performance for enterprises and governments."
Legal & Regulatory,Regulation & Compliance,IT Vulnerability & Threat Assessment,,,,,,,"Governance, Risk, and Compliance (GRC) software solutions provider for organizations to manage risk efficiently"
Financial Crime,Risk and Regulatory Analytics,Regulation & Compliance,"Fraud Monitoring, Protection & Investigation",Information Security,Data Visualization,,,,"Wynyard Group provides threat assessment, risk management, and fraud analytics software and services for government, financial services, and national infrastructure providers."
Legal & Regulatory,Regulation & Compliance,,,,,,,,"Combines technology with regulatory expertise, strategic guidance, and auditing services for banking and finance companies"
Digital Enterprise,Digital Benchmarking,Data Infrastructure,Mobile and Web Development,Software Testing,Comparables,,,,Omnext is a SaaS-based application quality assessment provider that offers a wide set of on-demand application analysis services.
Digital Enterprise,Digital Transformation Services,Mobile and Web Development,Data Infrastructure,Data Visualization,Predictive Modeling,,,,"Siteworx is a digital consultancy focusing on design, web, content management, and systems integration."
Digital Enterprise,Digital Transformation Services,Mobile and Web Development,Digital Benchmarking,Data Infrastructure,Enterprise Intelligence,,,,"Nexient is an application services and technology services provider that leverages a unique ""on-shore"" outsourcing model as an alternative to Indian ""off-shore"" services delivery. It focused on agile software development through ""on-shoring"" and also offers information management and enterprise mobility consulting services."
Workforce of the Future,Knowledge Management,Project Management,Performance Management,Cloud Services & Platforms,,,,,"Panviva provides solutions that contextualize business process guidance to help workers at large organizations navigate complex processes, reduce task handling times, reduce human error, and increase compliance."
Crowdsourcing,Managed Crowds,Expert Networks,Freelance Talent/Labor,,,,,,"Skillbridge provides clients on-demand access to a market of experienced business freelancers. Clients can hire the experienced consultants, experts, and specialists they need for short-term engagements."
Crowdsourcing,Expert Networks,Freelance Talent/Labor,Market Research,,,,,,"MBA & Company is a marketplace connecting organizations with freelance strategy and business development consultants to support a variety of strategic research needs - including competitive positioning, market assessments, and M&A support."
Data Management,Cloud Storage,Data Infrastructure,Data Aggregation,Data Recovery,,,,,"Hedvig is a ""software-defined"" data storage platform for enterprises. It works as a command center for distributing storage evenly across enterprise computing environments, enabling commodity hardware to become more elastic and work efficiently at scale."
Cybersecurity,Cyber Intelligence,IT Vulnerability & Threat Assessment,Information Security,,,,,,SecurityScorecard is a platform for enterprises to collaboratively monitor and remediate cyber security risks with their partners and vendors. It helps companies ensure private internal and customer data is protected when shared with third parties for business purposes.
Sustainability,Supply Chain Analytics,Telematics,,,,,,,"Offers solutions for commercial fleets and insurers to measure, improve, and sustain safe and fuel-efficient driving"
Legal & Regulatory,Knowledge Management,E-Discovery,Process Automation,Legal Document Review,Text Analytics,,,,Logikcull provides a cloud document management platform targeting auditors and legal teams. It automatically processes and organizes documents in a variety of file formats enabling content to be efficiently searched and analyzed.
Cybersecurity,Mobile Security,Managed Crowds,Identity Verification,Cyber Intelligence,Information Security,,,,Skycure helps enterprises secure mobile devices against internal and external cyber threats and malware through a downloadable mobile app and associated support service. It also leverages a crowd of security researchers to provide ongoing mobile threat intelligence.
Crowdsourcing,Expert Networks,Managed Crowds,Market Research,,,,,,"10EQS connects enterprise clients with a network of global business experts in a structured, online collaboration environment. The network advises on and helps address a variety of business challenges."
Crowdsourcing,Expert Networks,Managed Crowds,Global Delivery,Marketing Services,Marketing Analytics,Data Aggregation,Software Testing,Mobile & Web Development,"Lionbridge is a language services provider that specializes in professional translation and marketing localization. It also offers content management, data structuring, and application testing through a mix of cloud software and crowdsourcing driven by over 100K qualified workers."
Crowdsourcing,Managed Crowds,Data Aggregation,Machine Learning,Freelance Talent/Labor,Cognitive Technology,Process Automation,,,Workfusion qualifies and manages a crowd of workers from different online talent networks to complete data collection and data quality tasks for enterprises. It supplements the process with automation tools to maximize quality and speed.
Crowdsourcing,Managed Crowds,Data Aggregation,Freelance Talent/Labor,Mobile and Web Development,Process Automation,,,,"Platform for data enrichment that enables a community of data scientists to collect, clean, and label data at scale"
Crowdsourcing,Competitions,Predictive Modeling,Machine Learning,Freelance Talent/Labor,,,,,"Kaggle is a crowdsourcing platform that connects organizations that have a data problem to solve with data scientists that compete to build the best solution through predictive modeling. Winners can receive monetary prizes, jobs or knowledge."
Crowdsourcing,Mobile and Web Development,Exchanges,Freelance Talent/Labor,Software Testing,Mobile Security,,,,"Utest provides crowdsourced software testing services through a global community of professional testers. Testing services include Functional, Load, Localization, Security, and Usability testing. It also serves as a networking and training platform for the testing community."
Crowdsourcing,Managed Crowds,Mobile and Web Development,Digital Benchmarking,Digital Transformation Services,Social Media,Cloud Services & Platforms,,,"Appirio is a cloud consultancy that advises on, develops, and implements cloud solutions for enterprises. It's delivery model leverages a combination of a proprietary technology suite, traditional services, and crowdsourcing."
Crowdsourcing,Managed Crowds,Mobile and Web Development,Competitions,Predictive Modeling,Freelance Talent/Labor,Machine Learning,,,"Topcoder is an online community of data scientists, software developers, and graphic designers that compete to solve specific challenges posted by enterprises."
Crowdsourcing,Managed Crowds,Expert Networks,Competitions,Market Research,,,,,Wikistrat is a crowdsourced strategic consultancy leveraging a global network of subject-matter experts who collaborate with and serve clients online. It focuses on generating broad-view strategic insights quickly rather than providing in-depth analyses.
Crowdsourcing,Managed Crowds,Expert Networks,Competitions,Crowd Management Platforms,Knowledge Management,,,,Innocentive helps enterprises solve innovation challenges by sourcing ideas from an online community of talent through a competition model. It also provides a SaaS platform for organizations to design and manage their own open innovation campaigns.
Crowdsourcing,Mobile and Web Development,Managed Crowds,Freelance Talent/Labor,Software Testing,,,,,"99 Tests is a crowdsourced software testing platform for enterprise software and mobile app developers. It works through a ""bug bounty"" program whereby professional software testers working through the cloud are rewarded for bugs they find  - enabling enterprise clients to fix the bugs before rolling out their applications to end users."
Cybersecurity,Managed Crowds,IT Vulnerability & Threat Assessment,Competitions,Mobile Security,Freelance Talent/Labor,Software Testing,,,"Bugcrowd provides a managed cyber security service leveraging a crowd of 16,000+ security researchers. The community competes through bug bounties to find and test vulnerabilities in enterprise applications and security systems."
Crowdsourcing,Crowd Management Platforms,Market Research,Marketing Analytics,,,,,,Chaordix provides a crowdsourcing platform to help companies engage consumer communities for new concept generation and testing. It also offers tools for managing internal crowds and improving innovation management.
Crowdsourcing,Market Research,Customer Analytics,Managed Crowds,Crowd Management Platforms,Marketing Services,Predictive Modeling,,,Consensus point helps enterprises connect with consumer communities for market research and testing of new ideas. It also provides a software platform for internal crowdsourcing initiatives.
Cybersecurity,Managed Crowds,IT Vulnerability & Threat Assessment,Competitions,Mobile Security,Freelance Talent/Labor,Software Testing,,,"CrowdCurity provides a managed cyber security service leveraging a crowd of 2,000+ security researchers. The community competes through bug bounties to find and test vulnerabilities in enterprise applications and security systems."
Crowdsourcing,Managed Crowds,Freelance Talent/Labor,Data Aggregation,Mobile and Web Development,,,,,CrowdSource provides managed crowdsourcing services addressing content and data challenges for enterprises.
Crowdsourcing,Managed Crowds,Expert Networks,Competitions,,,,,,"Ideaken helps enterprises solve innovation challenges by sourcing ideas from academia, research institutes, individual experts, and other businesses through a competition model. Ideas can come from both the registered community of active participants or through specific search and solicitation of experts."
Crowdsourcing,Crowd Management Platforms,Knowledge Management,,,,,,,"IdeaScale provides an innovation management software platform for enterprises, governments, and academia. It has features designed to support activities across the full innovation life cycle of idea collection, refinement, review, and implementation."
Crowdsourcing,Managed Crowds,Machine Learning,Market Research,Customer Analytics,,,,,"MobileWorks combines crowdsourced human intelligence, custom data collection, and machine learning to generate lead intelligence for B2B sales and marketing teams. It maintains a social impact goal of forming its worker crowd primarily of globally underemployed and unemployed individuals."
Crowdsourcing,Software Testing,Mobile & Web Development,Managed Crowds,Freelance Talent/Labor,,,,,"Mob4Hire provides crowdsourced testing services for mobile and web applications. It qualifies the crowd of professional testers and employs a ranking system for quality control. Separately, it also provides consumer surveying services. "
Sustainability,Sustainability Advisory,Energy Efficiency,Meter Data Management,Performance Management,Corporate Sustainability,,,,Measurabl provides a cloud-based platform for sustainability data management and reporting.
Sustainability,Carbon Accounting,Environmental Footprint,Energy Efficiency,Data Visualization,Enterprise Intelligence,,,,Ecometrica is a sustainability management software provider that helps businesses manage and monitor their environmental impact while improving business performance. It's platform can aggregate and centralize a wide variety data from within and outside of the enterprise for reporting and transparency.
Sustainability,Data Visualization,Regulation & Compliance,Enterprise Intelligence,Carbon Accounting,Data Aggregation,Energy Efficiency,,,Accuvio provides sustainability intelligence software that pulls energy usage and business application data from across the enterprise into one place. It includes analysis and reporting features enabling the user to compare performance against specific regulatory requirements and simplify overall compliance.
Data Analytics,Data Visualization,Marketing Services,,,,,,,Visage empowers your team to create branded visual content optimized for the distribution channels that are most important to you.
Data Analytics,Data Visualization,Enterprise Intelligence,Data Aggregation,,,,,,Zoomdata is a big data visualization and analytics platform focused on empowering business users with real-time data streaming. It provides both pre-built and customizable dashboards.
Data Analytics,Machine Learning,Enterprise Intelligence,Data Visualization,Predictive Modeling,Cognitive Technology,Process Automation,,,"Ayasdi is an advanced analytics platform that leverages machine learning and topological data analysis (TDA) to generate insights from complex, unstructured data. Through TDA, its solution can identify underlying patterns faster and in a more repeatable manner than traditional machine learning techniques."
Pervasive Computing,Internet of Things,Data Visualization,Data Aggregation,Enterprise Intelligence,Information Security,Cloud Storage,,,"Buddy provides a platform for centrally managing and analyzing connected device data in one place. It helps enterprises efficiently aggregate data from a variety of connected devices, stores that data securely, and integrates it into other data sets and systems for analysis. It also features an API and data-shaping tool to help users analyze it more efficiently."
Pervasive Computing,Internet of Things,Wearables,Networks & Sensors,Advanced Manufacturing,Mobile and Web Development,,,,"Econais is a software and hardware solution provider for the Internet of Things (IoT). It offers a platform for developing applications that communicate with and control connected devices, and also manufactures hardware modules that can be implanted into devices to connect them to the internet quickly. Application areas include industrial, wearables, and smart home."
Pervasive Computing,Internet of Things,Networks & Sensors,Advanced Manufacturing,Enterprise Intelligence,Knowledge Management,Data Aggregation,Wearables,Telematics,"Jasper provides a platform for enterprises to centrally manage their Internet of Things (IoT) deployments - helping aggregate and analyze connected device data, configure and push actions to devices, and minimize program costs through overall visibility. It's main application areas are in consumer products, connected cars, and enterprise mobility."
Digital Enterprise,Mobile and Web Development,Digital Transformation Services,Mobile Security,, ,,,,"AirWatch by VMware allows organizations to easily deploy, configure, secure, manage and support smartphones, tablets, laptops and other devices across multiple mobile platforms and operating systems."
Digital Enterprise,Machine Learning,Cognitive Technology,Predictive Modeling,Cyber Intelligence,,,,,D Wave is a quantum computing company that seeks to revolutionize the way computers operate to make them faster and more reliable.
Artificial Intelligence,Natural Language Processing,Machine Learning,Mobile and Web Development,Internet of Things,Cognitive Technology,,,,"Expect Labs provides a platform for developing voice interfaces for any app, website, or device. Using the platform, app developers can create voice-driven assistants that understand voice commands of the user, enabling them to navigate and find information with their voice instead of typing or clicking."
Data Analytics,Customer Analytics,Predictive Modeling,Machine Learning,Financial Analytics,Enterprise Intelligence,Mobile & Web Development,,,"Strands helps enterprises monetize their customer data to personalize and improve customer experiences. Its primary focus is on financial institutions and retailers, but its suite of data analytics and machine learning applications could be expanded to other sectors."
Workforce of the Future,Talent Sustainability,Performance Management,Knowledge Management,Workforce Analytics,Neuroscience,,,,"Knewton is a learning technology company that applies ""adaptive learning"" to improve how learners progress through an online curriculum. It understand and adjusts to the needs of specific individuals and provides reports on how learners are performing. The technology can be integrated into proprietary digital learning applications."
Data Analytics,Predictive Modeling,Enterprise Intelligence,Machine Learning,Customer Analytics,Financial Analytics,Risk & Regulatory Analytics,Cognitive Technology,,"Skytree®—The Machine Learning Company® is disrupting the Advanced Analytics market with a Machine Learning platform that gives organizations the power to discover deep analytic insights, predict future trends, make recommendations and reveal untapped markets and customers."
Data Analytics,Predictive Modeling,Expert Networks,Data Visualization,Enterprise Intelligence,Data Aggregation,Virtual Collaboration,,,RapidMiner is a self-service big data analytics and predictive modeling platform for enterprises. It enables enterprise users to integrate a wide variety of data sources for analysis and design their own analytical models and visualizations without having to code. It also leverages a crowd of data scientists to assist with analysis design and best practices.
Legal & Regulatory,Regulation & Compliance,Corporate Sustainability,Enterprise Intelligence,,,,,,"Actio is an enterprise compliance platform that helps collect and manage data within and outside the enterprise pertaining to various government regulations. It includes features for reporting on and optimizing processes with the data it helps collect. Compliance areas include supply chain, chemicals, materials, manufacturing safety, and sustainability."
Pervasive Computing,Internet of Things,Networks & Sensors,Advanced Manufacturing,Mobile and Web Development,Enterprise Intelligence,,,,"Waygum is a platform for mobile app development for the Industrial Internet of Things (IoT). It enables organizations to build mobile apps that can control internet connected devices, monitor data from devices, and generally view and manage industrial processes remotely."
Cybersecurity,Information Security,Process Automation,Data Infrastructure,,,,,,"Solebit Labs helps protect enterprise networks from zero-day attacks and advanced persistent threats (APTs) through its SoleGATE product. SoleGATE is a network appliance that analyzes all incoming data streams, distinguishes hidden code (used to execute attacks) from other data types and restricts unauthorized code from entering the network."
Digital Enterprise,Digital Transformation Services,Digital Benchmarking,Mobile and Web Development,Software Testing,,,,,"Sprylab is a mobile product development and consulting company that helps companies generate and implement mobile strategies. It provides strategic advisory, agile mobile app development, back-end support, and testing services."
Workforce of the Future,Virtual Collaboration,Knowledge Management,Talent Sustainability,Project Management,Freelance Talent/Labor,,,,Initiafy provides a software platform helping enterprises onboard and manage contract workers and temp staff more efficiently. It enables new/temporary employees to conduct a majority of their onboarding processes and training modules virtually. The platform also features knowledge management functionality to help enterprises avoid re-work and automate much of the onboarding process.
Workforce of the Future,Exchanges,Freelance Talent/Labor,Talent Sustainability,,,,,,"RoundOne is an online platform connecting jobseekers directly with employees at hiring companies for networking and referral opportunities. It works through a ""pay-per-referral"" model where jobseekers connect with company insiders through the platform, and only pay if the interaction results in a personal referral for their job application."
Pervasive Computing,Internet of Things,Customer Analytics,Networks & Sensors,Supply Chain Analytics,Advanced Manufacturing,Marketing Analytics,,,"Evrythng provides a platform for managing data associated with physical products and connecting this data to the web, enabling physical products to have unique and traceable digital identities. This data can be interacted with in a variety of ways, empowering brands to generate new insights, applications and experiences around physical products."
Pervasive Computing,Predictive Modeling,Enterprise Intelligence,Customer Analytics,City Solutions,Internet of Things,Networks & Sensors,,,"Placemeter helps enterprises and municipalities analyze activity of physical spaces through video surveillance and sensor data. It provides cameras and sensors to capture data, and a platform to aggregate and analyze the data for insights. Its primary applications are in urban planning, retail store experience, and real estate diligence."
Data Management,Data Aggregation,Internet of Things,Remote Workforce,Data Infrastructure,Data Recovery,,,,"Tuxera solves data and device incompatibility challenges so that the content is never lost and always available for editing, playback, storage and sharing no matter how or where."
Legal & Regulatory,Regulation & Compliance,Talent Sustainability,Remote Workforce,Virtual Collaboration,Project Management,Workforce Analytics,Knowledge Management,,"SafetyCulture provides a software solution for managing workplace safety and safety compliance. It's core product is a platform that centralizes tracking, reporting, and managing workflow of safety inspections. It offers an associated mobile app for managing safety inspections and peer-to-peer sharing of safety data."
Digital Enterprise,Cloud Services and Platforms,Enterprise Intelligence,Customer Analytics,,,,,,Influx provides 24/7 customer-service-as-a-service to enterprises. It delivers customer support analytics and reporting as part of its service and integrates with other support services and platforms.
Data Analytics,Customer Analytics,Data Visualization,Remote Workforce,Workforce Analytics,,,,,Relationwise offers a SaaS solution that enables companies to API integrate to any CRM and measure customer loyalty and employee performance in real time via smartphones and tablets. 
Workforce of the Future,Talent Sustainability,Virtual Collaboration,Workforce Analytics,Telematics,,,,,"Tazio is an online technology platform for hiring, developing and retaining employees. It offers a video interview tool with features for recording and analyzing footage of candidates and employees, and also provides a tool for creating custom online aptitude assessments."
Digital Enterprise,Digital Benchmarking,Enterprise Intelligence,Process Automation,Data Infrastructure,Project Management,,,,"Apptio is a business management system for enterprise IT departments. Through a suite of SaaS applications focused on process automation and operational analytics, it helps IT leaders manage the cost, quality and value of IT projects."
Digital Enterprise,Virtual Collaboration,Knowledge Management,Project Management,Mobile and Web Development,Software Testing,,,,"Jama provides collaborative product development software to help enterprises bring complex products to market. It has features aimed at creating visibility and alignment within and across teams, maximizing repeatability, and integrating with other project management applications."
Data Management,Cloud Services & Platforms,Data Infrastructure,Digital Transformation Services,Global Delivery,,,,,"Aryaka Networks provides a Wide Area Network (WAN)-as-as-service for global enterprises to connect their people, devices, data, and infastructure privately and securely. It's platform includes built-in WAN optimization technology - removing the need for seperate optimization hardware and solutions - and can integrate applications within and outside the company firewall. It emphasizes efficient integration with new and legacy systems and infrastructure."
Digital Enterprise,Marketing Services,Marketing Analytics,Social Media,Knowledge Management,,,,,"Augure is a reputation management and communication platform targeting marketers and PR professionals. Its software helps identify and track influencers for targeted outreach, develop and manage communications material, and analyze the effectiveness of campaigns in one place."
Digital Enterprise,Supply Chain Analytics,Process Automation,Enterprise Intelligence,Networks & Sensors,Cloud Sevices and Platorms,,,,"HubLogix is a software platform that automates back end ecommerce processes for retailers. It helps accelerate activities across the lifecycle from checkout to delivery including inventory management, order routing, and shipment tracking."
Digital Enterprise,Mobile and Web Development,,,,,,,,"Platform-as-a-service solution specializing in custom workflow solutions empowering organizations to build business apps for anyone, anywhere, on any device."
Sustainability,Market Research,Due Diligence,Sustainability Advisory,,,,,,"Cleantech provides an online platform that connects corporates with innovation, at scale, by allowing them to find and connect with start-ups. They also help business leaders make smarter, more strategic decisions involving Cleantech innovation through advisory and market research."
Digital Enterprise,Cloud Services and Platforms,Exchanges,Mobile and Web Development,Digital Transformation Services,,,,,"AppDirect offers a cloud service marketplace and management platform that enables companies to distribute web-based services. The global network of AppDirect-powered marketplaces allows businesses to find, buy, and manage the best applications the cloud has to offer."
Sustainability,Sustainability Advisory,Market Research,,,,,,,"Niche clean tech advisory, research, and capital-raising services provider."
Market Intelligence,Market Research,Predictive Modeling,Data Visualization,Financial Data,,,,,Deciphers data through computational and vizualization tools that enable global food security.
Sustainability,Energy Efficiency,Enterprise Intelligence,Networks & Sensors,Data Aggregation,,,,,"Panoramic Power provides cloud-based analytics to help businesses optimize their energy consumption, improve operational efficiency and generate income through load response programs."
Sustainability,Smart Grid,Energy Efficiency,Machine Learning,Predictive Modeling,Data Visualization,,,,"Grid4C provides predictive analytics for the smart grid by applying machine learning to granular measurements of energy data from a variety of meters, sensors, and users. It empowers players across the energy value chain to maximize energy efficiency through data visualizations and predictive alerts."
Pervasive Computing,Augmented Reality,Virtual Collaboration,Remote Workforce,,,,,,"4tiitoo provides innovative software solutions to bring a more intuitive and natural user experience to the daily computer interaction by allowing for a simple way to create applications controlled via eye tracking, gestures or speech recognition."
Workforce of the Future,Remote Workforce,Virtual Collaboration,,,,,,,Develops and distributes web-based collaboration software.
Cybersecurity,Information Security,Cloud Storage,,,,,,,"Cloudbased security services to business customers; specializing in email security, web security, and data storage."
Pervasive Computing,Internet of Things,Augmented Reality,Wearables,Advanced Manufacturing,Networks & Sensors,Telematics,Mobile and Web Development,,"Bitstars operates a SaaS platform that enables users to create, edit, and customize their own augmented and virtual reality content. The company provides bitstars, a platform that enables users to create new virtual worlds by augmenting with virtual information, such as pictures, texts, and videos. Its augmented and virtual reality application fields include production and manufacturing, education and training, maintenance and repair, work documentation, digital prototyping, and factory planning. "
Crowdsourcing,Exchanges,Managed Crowds,Freelance Talent/Labor,Mobile and Web Development,Data Aggregation,,,,"Clickworker provides business services crowdsourcing leveraging a crowd of qualified online workers. Through micro-tasking, the crowd completes projects related to text creation, SEO, data cleansing and structuring, translation, online research, and surveys."
Workforce of the Future,Project Management,Performance Management,Virtual Collaboration,Enterprise Intelligence,Cloud Services & Platforms,,,,Collinor Software is a project management software provider with interfaces specially designed for midsized and large businesses.
Workforce of the Future,Data Visualization,Virtual Collaboration,Project Management,Mobile and Web Development,Identity Verification,Global Delivery,,,"Conceptboard offers flexible online workspaces to simplify team collaboration, enhance visual communication and help evolve ideas into finished products."
Data Management,Enterprise Intelligence,Global Delivery,Data Infrastructure,,,,,,Conweaver provides software for automatic integration of corporate data and intelligent semantic and multilingual searches.
Pervasive Computing,Internet of Things,Networks & Sensors,Telematics,Advanced Manufacturing,Mobile and Web Development,Data Aggregation,Enterprise Intelligence,,"Cumulocity is a platform for developing and managing mobile machine-to-machine applications. It makes it easy for developers to connect a variety of device types to the internet, manage and control them, and analyze the data they generate securely."
Data Management,Data Aggregation,Data Infrastructure,Machine Learning,,,,,,Data Virtuality offers software that flexibly combines all the data sources you need for your analysis and planning – from heterogeneous IT systems to web applications to Big Data.
Sustainability,Market Research,Renewable Energy,City Solutions,Energy Efficiency,Smart Grid,Predictive Modeling,,,Enercast forecasts energy output by wind and solar power in real-time based on weather patterns. This streaming information is used by energy grid operators and smart homes to optimize consumption and balance load.
Digital Enterprise,Market Research,Customer Analytics,Social Media,Marketing Analytics,,,,,"Engagor provides a platform for brands to manage their presence on social media. It enables real-time customer engagement through social channels, and helps inform social strategies by monitoring millions of sources to track potentially insightful social conversations. The platform also includes workflow features for social media teams to manage and measure their performance."
Data Management,Data Aggregation,Remote Workforce,Cloud Services and Platform ,Knowledge Management,,,,,Awingu is a workspace aggregator that gives users secure access to corporate IT resources such as company applications and data. 
Sustainability,Environmental Footprint,Cloud Services and Platforms,Networks & Sensors,Predictive Modeling,,,,,"Racktivity provides an energy management system for within the enterprise data center. Their solution measures, monitors and manages power across distributed data centers and gives customers full visibility and control of their energy consumption."
Data Analytics,Supply Chain Analytics,Predictive Modeling,Market Research,Information Exchange,,,,,"Chainalytics is a supply chain analytics and consulting services company. It offers membership-based benchmarking and predictive intelligence for freight markets and demand planning. It also leverages a proprietary analytics platform to offer ""on-demand supply chain analytics."""
Workforce of the Future,Market Research,Exchanges,Freelance Talent/Labor,Talent Sustainability,,,,,"Adzuna is a search engine for job listings that aggregates information from thousands of sources and listings across the globe. It empowers job candidates to efficiently find job opportunities in nearly any industry or category, and leverages semantic analysis to return personalized results. It also offers API access for businesses interested in accessing the wealth of job and employment information from the site in real-time."
